created_date,arrival_date,departure_date,room_type,room_ocp_type,meal_plan,country
07-10-16,7/31/2016,08-01-16,STD,DBL,HB,Sri Lanka
6/21/2016,7/31/2016,08-02-16,PDLX,DBL,BB,Australia
3/17/2016,7/31/2016,08-01-16,SUPR,DBL,BB,Slovenia
6/16/2016,7/31/2016,08-03-16,PDLX,DBL,HB,France
06-08-16,7/31/2016,08-01-16,STD,DBL,BB,Ireland
06-04-16,7/31/2016,08-01-16,HDLX,DBL,FB,Sri Lanka
2/16/2016,7/31/2016,08-02-16,PDLX,DBL,BB,United Kingdom
2/24/2016,7/31/2016,08-01-16,STD,DBL,HB,Netherlands
1/26/2016,7/31/2016,08-04-16,PDLX,DBL,BB,United Kingdom
05-07-16,7/31/2016,08-01-16,GSUT,DBL,BB,Sweden
04-04-16,7/31/2016,08-01-16,STD,DBL,HB,Spain
6/21/2016,7/31/2016,08-01-16,PDLX,DBL,FB,Sri Lanka
7/28/2016,08-01-16,08-02-16,HDLX,SGL,FB,United States
3/22/2016,08-01-16,08-03-16,GSUT,DBL,BB,United Kingdom
7/13/2016,08-01-16,08-03-16,STD,DBL,BB,United Kingdom
6/15/2016,08-01-16,08-02-16,HDLX,DBL,FB,Sri Lanka
2/26/2016,08-01-16,08-02-16,PDLX,TPL,BB,Netherlands
7/28/2016,08-01-16,08-02-16,STD,DBL,BB,Sri Lanka
2/29/2016,08-01-16,08-03-16,PDLX,SGL,HB,Sri Lanka
2/29/2016,08-01-16,08-03-16,PDLX,TPL,HB,Sri Lanka
07-03-16,08-01-16,08-02-16,HDLX,DBL,BB,Spain
1/27/2016,08-01-16,08-03-16,PDLX,DBL,HB,Denmark
7/14/2016,08-01-16,08-03-16,STD,DBL,BB,France
2/16/2016,08-01-16,08-02-16,PDLX,DBL,HB,United Kingdom
06-03-15,08-01-16,08-02-16,STD,DBL,HB,United Kingdom
06-09-16,08-01-16,08-02-16,SUPR,DBL,HB,Ireland
04-01-16,08-02-16,08-04-16,HDLX,DBL,HB,France
09-04-15,08-02-16,08-03-16,HDLX,TPL,BB,Jordan
3/23/2016,08-02-16,08-03-16,PDLX,DBL,FB,Sri Lanka
