Date,Count
1-Jan,30
1-Jan,33
2-Jan,32
2-Jan,37
3-Jan,36
3-Jan,34
4-Jan,37
4-Jan,37
5-Jan,35
5-Jan,31
6-Jan,29
6-Jan,34
7-Jan,34
7-Jan,29
8-Jan,32
8-Jan,34
9-Jan,33
9-Jan,38
10-Jan,31
10-Jan,36
11-Jan,35
11-Jan,32
12-Jan,36
12-Jan,29
13-Jan,28
13-Jan,37
14-Jan,28
14-Jan,39
15-Jan,35
15-Jan,39
16-Jan,29
16-Jan,41
17-Jan,31
17-Jan,39
18-Jan,31
18-Jan,41
19-Jan,39
19-Jan,44
20-Jan,37
20-Jan,39
21-Jan,40
21-Jan,32
22-Jan,42
22-Jan,39
23-Jan,39
23-Jan,42
24-Jan,31
24-Jan,42
25-Jan,30
25-Jan,45
26-Jan,32
26-Jan,42
27-Jan,40
27-Jan,38
28-Jan,31
28-Jan,43
29-Jan,29
29-Jan,36
30-Jan,31
30-Jan,29
31-Jan,38
31-Jan,34
1-Feb,37
1-Feb,37
2-Feb,35
2-Feb,39
3-Feb,35
3-Feb,41
4-Feb,34
4-Feb,38
5-Feb,26
5-Feb,38
6-Feb,28
6-Feb,41
7-Feb,17
7-Feb,38
8-Feb,28
8-Feb,37
9-Feb,34
9-Feb,31
10-Feb,34
10-Feb,36
11-Feb,31
11-Feb,28
12-Feb,34
12-Feb,36
13-Feb,37
13-Feb,40
14-Feb,28
14-Feb,35
15-Feb,36
15-Feb,36
16-Feb,30
16-Feb,40
17-Feb,33
17-Feb,43
18-Feb,34
18-Feb,43
19-Feb,38
19-Feb,34
20-Feb,33
20-Feb,39
21-Feb,36
21-Feb,36
22-Feb,37
22-Feb,33
23-Feb,33
23-Feb,27
24-Feb,35
24-Feb,36
25-Feb,34
25-Feb,41
26-Feb,36
26-Feb,30
27-Feb,33
27-Feb,37
28-Feb,36
28-Feb,35
1-Mar,39
1-Mar,21
2-Mar,35
2-Mar,35
3-Mar,35
3-Mar,39
4-Mar,33
4-Mar,35
5-Mar,36
5-Mar,41
6-Mar,33
6-Mar,40
7-Mar,36
7-Mar,41
8-Mar,34
8-Mar,42
9-Mar,32
9-Mar,42
10-Mar,34
10-Mar,37
11-Mar,31
11-Mar,39
12-Mar,32
12-Mar,42
13-Mar,34
13-Mar,43
14-Mar,32
14-Mar,44
15-Mar,33
15-Mar,37
16-Mar,35
16-Mar,37
17-Mar,35
17-Mar,39
18-Mar,35
18-Mar,45
19-Mar,36
19-Mar,37
20-Mar,36
20-Mar,43
21-Mar,38
21-Mar,38
22-Mar,29
22-Mar,39
23-Mar,25
23-Mar,37
24-Mar,33
24-Mar,36
25-Mar,39
25-Mar,40
26-Mar,38
26-Mar,43
27-Mar,30
27-Mar,38
28-Mar,30
28-Mar,36
29-Mar,38
29-Mar,42
30-Mar,35
30-Mar,43
31-Mar,41
31-Mar,42
1-Apr,35
1-Apr,27
2-Apr,36
2-Apr,12
3-Apr,31
3-Apr,1
4-Apr,31
5-Apr,30
6-Apr,32
7-Apr,25
8-Apr,29
9-Apr,36
10-Apr,43
11-Apr,38
12-Apr,39
13-Apr,36
14-Apr,35
15-Apr,39
16-Apr,40
17-Apr,35
18-Apr,32
19-Apr,36
20-Apr,35
21-Apr,38
22-Apr,36
23-Apr,42
24-Apr,43
25-Apr,42
26-Apr,41
27-Apr,44
28-Apr,39
29-Apr,34
30-Apr,37
1-May,32
2-May,34
3-May,33
4-May,38
5-May,34
6-May,38
7-May,33
8-May,33
9-May,36
10-May,34
11-May,28
12-May,33
13-May,37
14-May,35
15-May,29
16-May,30
17-May,27
18-May,40
19-May,37
20-May,40
21-May,32
22-May,32
23-May,26
24-May,30
25-May,23
26-May,30
27-May,25
28-May,25
29-May,23
30-May,20
31-May,25
1-Jun,23
2-Jun,30
3-Jun,32
4-Jun,30
5-Jun,28
6-Jun,32
7-Jun,29
8-Jun,31
9-Jun,31
10-Jun,37
11-Jun,30
12-Jun,35
13-Jun,34
14-Jun,30
15-Jun,30
16-Jun,33
17-Jun,40
18-Jun,41
19-Jun,36
20-Jun,36
21-Jun,35
22-Jun,31
23-Jun,33
24-Jun,24
25-Jun,17
26-Jun,26
27-Jun,32
28-Jun,36
29-Jun,29
30-Jun,29
1-Jul,32
2-Jul,35
3-Jul,34
4-Jul,36
5-Jul,29
6-Jul,35
7-Jul,38
8-Jul,41
9-Jul,37
10-Jul,32
11-Jul,38
12-Jul,41
13-Jul,35
14-Jul,29
15-Jul,30
16-Jul,31
17-Jul,30
18-Jul,38
19-Jul,31
20-Jul,34
21-Jul,28
22-Jul,37
23-Jul,35
24-Jul,35
25-Jul,32
26-Jul,29
27-Jul,29
28-Jul,29
29-Jul,27
30-Jul,30
31-Jul,12
31-Jul,29
1-Aug,26
1-Aug,34
2-Aug,27
2-Aug,33
3-Aug,29
3-Aug,31
4-Aug,30
